section;in_resume;title;loc;institution;start;end;description_1;description_2;description_3
education;TRUE;MSc Methodology and Statistics in the Behavioral, Biomedical and Social Sciences;Utrecht University;Niederlande;2020;2022;Thesis: Data Linkage to Validate and Calibrate Traffic Estimations on a Nationwide Scale. A Framework for Official Statistics.;NA;NA
education;TRUE;BA Soziologie;Universität Leipzig;Deutschland;2015;2020;Thesis: Der Effekt sozialer Netzwerke auf den Arbeitsmarkterfolg.;NA;NA
research_positions;TRUE;"Intern Data Science/Methodology in Mobility Research
";DaCiMob;Statistics Netherlands (CBS);2021;2022;Forschungsprojekt zu Big Data in der Mobilitätsforschung im Kontext meiner Masterarbeit (Arbeit mit Python) ;Data Linkage von Verkehrssensordaten, administrativen Bevölkerungsdaten und Infrastrukturdaten zur staatsweiten Verkehrsvorhersage;Erstellen von Skripts zum Datenmanagement und zur Analyse für das Center for Big Data Statistics Team
research_positions;TRUE;Research Assistant/Intern in T-NAMSE project;Institute for Public Health;Charité - Berlin University of Medicine;2019;2020;Health service research project involving multiple research teams across Germany. ;Management, cost-analysis, plausibility checks, cleaning, statistical analysis and visualization of data;Translating and communicating code from different software
research_positions;TRUE;Intern Behavioural Policy and Disruptive Technology;Ministry of Trade;Ankara, Republic of Turkey;NA;2019;Assistance in Turkeys first Nudge Unit (applying behavioural science in public policy);Attendance in international meetings to implement blockchain technology in international trade;Literature reviews
research_positions;TRUE;Student Assistant Chair of Institutions and Social Change;Institute for Sociology;Leipzig University;2018;2019;Data analysis and visualisation, data research, literature research;Managing the learning management system;Proof-reading and revising in English and German
research_positions;TRUE;Student Assistant;School of Media, Communication and Sociology;University of Leicester;2017;2020;Research project Far-Right Environmental Risk Communication in the European Parliament ;Collecting, monitoring and coding data and parliamentary speeches of the EU parliament and of newspaper articles;NA
research_positions;TRUE;Student Assistant in EU-funded SOLIDUS (Horizon 2020, grant agreement #649489);Institute for Sociology;Leipzig University;2017;2018;Assisted in authoring of the “European Solidarity in Times of Crisis”-monograph;Preparing and analysing reports;Conducting and evaluating focus group meetings, interviews and national seminars
research_positions;TRUE;Teaching Assistant Methods and Statistics;Institute for Sociology;Leipzig University;2016;2017;Marking students homework in statistics and assisting in lectures;NA;NA
other;TRUE;Member of the Student Council for Sociology;Institute for Sociology;Leipzig University;2016;2017;Organizing information events, parties and booklets for Sociology students;Participating in- and reviewing committee sessions;NA
other;TRUE;Junior Consultant;Campus Inform (Student Business Consultancy);Leipzig University;2016;2017;Creating a concept for the Leipziger Bündnis gegen Depressionen (NGO) to recruit new sponsors;Researching general information related to acquisition and human resources;Reached top of HackerNews.
